noteId,createdAtMillis,summary,label
1807909188024016911,1719874114409,"Zelensky's wife didn't buy a Bugatti. The receipt is a fake posted to a recent instagram account, originating in a forum based in Nigeria known as Russian disinformation mill.     https://twitter.com/splendid_pete/status/1807873673262682423  https://www.nairaland.com/8141651/olena-zelenska-buys-latest-4.5m    The address is also fake as there is no &quot;Neuily-sur-Seine, Paris&quot; in France  https://www.neuillysurseine.fr/",1
1947632090435969339,1753186650272,実銃ではなく玩具銃です。    銃口から「インナーバレル」という玩具銃特有の、実銃には存在しない部品が確認できます。玩具銃には厳しい規制が敷かれており、改造しても実銃として使用することはできません。    https://ja.wikipedia.org/wiki/%E3%82%A8%E3%82%A2%E3%82%BD%E3%83%95%E3%83%88%E3%82%AC%E3%83%B3?wprov=sfla1    また、プラスチック製の銃で実弾を発砲した場合、発砲時の爆発に銃本体が耐えられず、手に重大な損傷を及ぼします。,1
2043069059541901628,1775940596839,"Ronnie Pickering is alive, according to his family who have denied rumors of his death and called them &quot;fake news&quot;.    https://www.examinerlive.co.uk/news/local-news/ronnie-pickering-family-members-break-33754893",1
1864781929150845221,1733433632539,本人により否定されています。    https://x.com/urct/status/1864747225659904223,0
2039857802802303177,1775174973570,"A proposta é inconstitucional, pois viola a dignidade da pessoa humana (art. 1º, III, CF/88). Além disso, mesmo com exames, existe o período de janela imunológica (até 30-90 dias para HIV, hepatites B/C).     https://www.gov.br/saude/pt-br/composicao/saes/doacao-de-sangue/faq/o-que-e-janela-imunologica",1
1840100996846104812,1727549239728,⚠️ Deceptive site ahead    Potential threats on linea-quest[.]pages[.]dev include:      * Fake versions of MetaMask    * Secret Recovery Phrase or password theft    * Malicious transactions resulting in stolen assets    Advisory provided by Ethereum Phishing Detector and Web3 Antivirus - https://web3antivirus.io/scam-report/?id=524037,1
1827523384558960643,1724550503278,"NNN   Note is incorrect    The EU only distanced itself from Breton's letter to Musk:  https://www.ft.com/content/09cf4713-7199-4e47-a373-ed5de61c2afa    Sandro Gozi made a separate statement on August 19.  There has been no official communication from the European Commission repudiating Gozi's warning to X &amp; Musk as of August 24, 2024:  https://x.com/sandrogozi/status/1825501366296412475  https://europeanconservative.com/articles/news/liberal-mep-threatens-musk-eu-will-shut-down-x/  https://www.ntd.com/eu-official-warns-musks-x-could-be-banned-in-europe_1012386.html  https://civilek.info/en/2024/08/20/the-european-union-is-considering-closing-down-musk-x-communal-media-outlets-in-favor-of-freedom-of-speech/",1
1695489088126627901,1693071073930,  Latino/Hispanic is not a race in the U.S. for statistical purposes and thus not an option. Brown is not a race either.     It’s likely those people do not identify as black or Asian so they legally identify as white.    Some South Asians identify as white because of history.     https://www.npr.org/sections/codeswitch/2014/06/16/321819185/on-the-census-who-checks-hispanic-who-checks-white-and-why,1
1827177595177464138,1724468060663,お札の画像は保有しているものではなく  YouTuberのサムネイルを無断使用しており  自分の所有物として使用している点に注意が必要です。  https://www.youtube.com/watch?v=083anAf7rRo    またこういうお金配りはほとんどが詐欺で配布される事はないです。,1
1652558278944239617,1682835571406,"The image is showing a Palestine pound, currency used in the British Mandate of Palestine so Palestine wasn't a sovereign state then, it's just a British mandate pound.    If interested this book contains information of it:     https://chipublib.bibliocommons.com/v2/record/S126C1123576",1
1813459752606920820,1721197472133,Winnyの開発者の金子勇氏は大阪高裁で無罪判決となり、検察の上告は最高裁に棄却されているため無罪が確定しています。  https://www.courts.go.jp/app/hanrei_jp/detail2?id=81846,1
1738917850247536723,1703425297681,"There is no suggestion that the F-16s will be operated from NATO countries, this is part of a recent disinformation narrative.    F-16s are being delivered to Ukraine, for Ukraine to operate from native airfields, in the same manner as other NATO equipment operated by the AFU.    https://www.atlanticcouncil.org/blogs/new-atlanticist/heres-what-f-16s-will-and-will-not-mean-for-ukraines-fight-against-russia/",1
1781336975359836230,1713538805223,Belgian fries are double fried. Traditionally they were fried in beef tallow however these days it’s mostly vegetable fat.     http://newworldreview.com/2009/08/belgian-fries/,0
1883420219487744255,1737877347238,These photos show bells that were taken by nazis in occupied countries in order to reuse the metal for weapons manufacturing     https://www.bells.org/blog/when-nazis-took-all-bells,1
1986263638441591023,1762397129056,The White House clarified that it is complying with the judge's order by partially funding SNAP.    https://www.newsweek.com/snap-update-white-house-complying-with-court-order-addresses-trump-post-10994384,1
1853448555392102564,1730731545672,The image is real    https://youtu.be/oK5oZCLXnFA,0
1729188133093167180,1701105552347,"Javier Milei no le ha quitado el subsidio a nadie ya que no tiene potestad para hacerlo puesto que no es presidente hasta el 10/12/23. De hecho, la renuncia voluntaria al subsidio fue propuesta por el gobierno de turno actual.  https://www.argentina.gob.ar/noticias/ya-se-puede-tramitar-la-renuncia-al-subsidio-al-transporte-publico-automotor-y-ferroviario",1
1785715628478755239,1714582757478,"Le Maroc n’a pas de frontière terrestre avec la Turquie, la Turquie est un pays de l’Asie mineure, et le Maroc est à l’extrême nord ouest du continent africain il s’étend de tanger au nord à lagouira au sud.     https://fr.m.wikipedia.org/wiki/Maroc",1
1740447965720822024,1703790105641,1) Le journal Le Monde a publié trois articles sur le sujet.    https://www.lemonde.fr/afrique/article/2023/12/25/nigeria-au-moins-seize-personnes-tuees-dans-une-attaque-dans-le-centre-du-pays_6207581_3212.html  https://www.lemonde.fr/afrique/article/2023/12/25/nigeria-au-moins-113-personnes-tuees-dans-des-attaques-dans-le-centre-du-pays_6207657_3212.html  https://www.lemonde.fr/afrique/article/2023/12/27/nigeria-198-personnes-tuees-dans-des-attaques-dans-le-centre-du-pays-selon-un-nouveau-bilan-des-autorites-locales_6207956_3212.html    2) Amnesty International a réagi sur X.    https://twitter.com/AmnestyNigeria/status/1739303611316727849    3) Les photos du tweet cité sont celle d'un attentat commis en juin 2022.    https://apnews.com/article/nigeria-africa-religion-government-and-politics-8775c5367906bbcf43e35673dc24c9e0,1
1852367695557091533,1730473848606,"NNN - For goodness sake, stop abusing Community Notes. This post is obviously satirical and expresses an opinion.",0
1829225027335795126,1724956206532,"NNN  That’s the point. A player who is actively playing an entire season, scoring etc. has less rating then a player who barely played and did not score in the games he played.  ",0
2011116275280560192,1768322459418,"Recent surveys show 31% of Albertans are in favour of separation. Notably, 42% of young voters (18-34) are in favor of separating and these numbers have contributed to climb over recent surveys.    https://researchco.ca/2026/01/08/alberta-separation-3/  https://www.westerninvestor.com/alberta/mario-canseco-albertas-separation-movement-is-growing-and-getting-younger-says-poll-11710517",1
1983415230215422457,1761718015614,Este articulo es falso. Simon Levy sigue libre; la ficha roja en su contra sigue sin aparecer en el sitio de interpol    https://www.publimetro.com.mx/noticias/2025/10/28/simon-levy-detenido-por-la-interpol-en-portugal-esto-es-lo-que-se-sabe/,1
1936091131613237304,1750435071268,Misinformation!  This video is digitally altered. The original video was from Khamenei's visit to Rezaei-Nejad's family. Entire video doesn't show Khamenei kissing the little girl.    https://x.com/dintentdata/status/1841785071390621854    https://youtu.be/Dnb_luCOh9g?si=YpEiJokp05EZvK1Z&amp;t=349  ,1
1701957110668431824,1694613170675,"O objeto foi criado pelo artista Alex CF, de Londres, e ele também criou essa história.    https://www.merrylinmuseum.com/immaculate-conception-of-maria-rosenthal  ",1
2005631542987727047,1767014797337,医療デマや誤情報を意図的にポストし、不安を煽る事でインプレッション稼ぎを繰り返している大変悪質なアカウントです    身元の不確かな人物の医療デマや不確定情報などは、  生命の損失、生涯に渡る身体・精神障害、重篤な疾病など  健康上の被害を生じさせる危険性があります    万が一そのような自体に陥ったとしても、  当該アカウントがその責任や賠償を負うとも、責任を追及するのも困難かと思われます    正しい医療情報を得るためには身元が明確で信頼性のある医師や専門家に相談してください    オンライン上の誤った医療情報に惑わされずに  https://www.jnj.co.jp/jjmkk/healthcare-of-new-normal/column_01    偽医師がデマ発信も医療情報の見分け方  https://medical.jiji.com/topics/1161,1
